ds,y
2021-01-01,1250
2021-01-02,1180
2021-01-03,1150
2021-01-04,2450
2021-01-05,2520
2021-01-06,2480
2021-01-07,2390
2021-01-08,2280
2021-01-09,1210
2021-01-10,1190
2021-01-11,2510
2021-01-12,2580
2021-01-13,2540
2021-01-14,2450
2021-01-15,2350
2021-01-16,1240
2021-01-17,1220
2021-01-18,2480
2021-01-19,2550
2021-01-20,2510
2021-01-21,2420
2021-01-22,2320
2021-01-23,1230
2021-01-24,1200
2021-01-25,2520
2021-01-26,2590
2021-01-27,2550
2021-01-28,2460
2021-01-29,2360
2021-01-30,1250
2021-01-31,1230
2021-02-01,2560
2021-02-02,2630
2021-02-03,2590
2021-02-04,2500
2021-02-05,2400
2021-02-06,1280
2021-02-07,1260
2021-02-08,2600
2021-02-09,2670
2021-02-10,2630
2021-02-11,2540
2021-02-12,2440
2021-02-13,1300
2021-02-14,1450
2021-02-15,2640
2021-02-16,2710
2021-02-17,2670
2021-02-18,2580
2021-02-19,2480
2021-02-20,1320
2021-02-21,1300
2021-02-22,2680
2021-02-23,2750
2021-02-24,2710
2021-02-25,2620
2021-02-26,2520
2021-02-27,1340
2021-02-28,1320
2021-03-01,2720
2021-03-02,2790
2021-03-03,2750
2021-03-04,2660
2021-03-05,2560
2021-03-06,1360
2021-03-07,1340
2021-03-08,2760
2021-03-09,2830
2021-03-10,2790
2021-03-11,2700
2021-03-12,2600
2021-03-13,1380
2021-03-14,1360
2021-03-15,2800
2021-03-16,2870
2021-03-17,2950
2021-03-18,2740
2021-03-19,2640
2021-03-20,1400
2021-03-21,1380
2021-03-22,2840
2021-03-23,2910
2021-03-24,2870
2021-03-25,2780
2021-03-26,2680
2021-03-27,1420
2021-03-28,1400
2021-03-29,2880
2021-03-30,2950
2021-03-31,2910
2021-04-01,2820
2021-04-02,2720
2021-04-03,1440
2021-04-04,1550
2021-04-05,2920
2021-04-06,2990
2021-04-07,2950
2021-04-08,2860
2021-04-09,2760
2021-04-10,1460
2021-04-11,1440
2021-04-12,2960
2021-04-13,3030
2021-04-14,2990
2021-04-15,2900
2021-04-16,2800
2021-04-17,1480
2021-04-18,1460
2021-04-19,3000
2021-04-20,3070
2021-04-21,3030
2021-04-22,2940
2021-04-23,2840
2021-04-24,1500
2021-04-25,1480
2021-04-26,3040
2021-04-27,3110
2021-04-28,3070
2021-04-29,2980
2021-04-30,2880
2021-05-01,1520
2021-05-02,1500
2021-05-03,3080
2021-05-04,3150
2021-05-05,3110
2021-05-06,3020
2021-05-07,2920
2021-05-08,1540
2021-05-09,1650
2021-05-10,3120
2021-05-11,3190
2021-05-12,3150
2021-05-13,3060
2021-05-14,2960
2021-05-15,1560
2021-05-16,1540
2021-05-17,3160
2021-05-18,3230
2021-05-19,3190
2021-05-20,3100
2021-05-21,3000
2021-05-22,1580
2021-05-23,1560
2021-05-24,3200
2021-05-25,3270
2021-05-26,3230
2021-05-27,3140
2021-05-28,3040
2021-05-29,1600
2021-05-30,1580
2021-05-31,1700
2021-06-01,3280
2021-06-02,3350
2021-06-03,3310
2021-06-04,3220
2021-06-05,1640
2021-06-06,1620
2021-06-07,3320
2021-06-08,3390
2021-06-09,3350
2021-06-10,3260
2021-06-11,3160
2021-06-12,1660
2021-06-13,1640
2021-06-14,3360
2021-06-15,3430
2021-06-16,3390
2021-06-17,3300
2021-06-18,3200
2021-06-19,1680
2021-06-20,1750
2021-06-21,3400
2021-06-22,3470
2021-06-23,3430
2021-06-24,3340
2021-06-25,3240
2021-06-26,1700
2021-06-27,1680
2021-06-28,3440
2021-06-29,3510
2021-06-30,3470
2021-07-01,3380
2021-07-02,3280
2021-07-03,1720
2021-07-04,1900
2021-07-05,1850
2021-07-06,3550
2021-07-07,3510
2021-07-08,3420
2021-07-09,3320
2021-07-10,1740
2021-07-11,1720
2021-07-12,3520
2021-07-13,3590
2021-07-14,3550
2021-07-15,3460
2021-07-16,3360
2021-07-17,1760
2021-07-18,1740
2021-07-19,3560
2021-07-20,3630
2021-07-21,3590
2021-07-22,3500
2021-07-23,3400
2021-07-24,1780
2021-07-25,1760
2021-07-26,3600
2021-07-27,3670
2021-07-28,3630
2021-07-29,3540
2021-07-30,3440
2021-07-31,1800
2021-08-01,1780
2021-08-02,3640
2021-08-03,3710
2021-08-04,3670
2021-08-05,3580
2021-08-06,3480
2021-08-07,1820
2021-08-08,1800
2021-08-09,3680
2021-08-10,3750
2021-08-11,3710
2021-08-12,3620
2021-08-13,3520
2021-08-14,1840
2021-08-15,1820
2021-08-16,3720
2021-08-17,3790
2021-08-18,3750
2021-08-19,3660
2021-08-20,3560
2021-08-21,1860
2021-08-22,1840
2021-08-23,3760
2021-08-24,3830
2021-08-25,3790
2021-08-26,3700
2021-08-27,3600
2021-08-28,1880
2021-08-29,1860
2021-08-30,3800
2021-08-31,3870
2021-09-01,3830
2021-09-02,3740
2021-09-03,3640
2021-09-04,1900
2021-09-05,1880
2021-09-06,1950
2021-09-07,3910
2021-09-08,3870
2021-09-09,3780
2021-09-10,3680
2021-09-11,1920
2021-09-12,1900
2021-09-13,3880
2021-09-14,3950
2021-09-15,3910
2021-09-16,3820
2021-09-17,3720
2021-09-18,1940
2021-09-19,1920
2021-09-20,3920
2021-09-21,3990
2021-09-22,3950
2021-09-23,3860
2021-09-24,3760
2021-09-25,1960
2021-09-26,1940
2021-09-27,3960
2021-09-28,4030
2021-09-29,3990
2021-09-30,3900
2021-10-01,3800
2021-10-02,1980
2021-10-03,1960
2021-10-04,4000
2021-10-05,4070
2021-10-06,4030
2021-10-07,3940
2021-10-08,3840
2021-10-09,2000
2021-10-10,1980
2021-10-11,4040
2021-10-12,4110
2021-10-13,4070
2021-10-14,3980
2021-10-15,3880
2021-10-16,2020
2021-10-17,2000
2021-10-18,4080
2021-10-19,4150
2021-10-20,4110
2021-10-21,4020
2021-10-22,3920
2021-10-23,2040
2021-10-24,2020
2021-10-25,4120
2021-10-26,4190
2021-10-27,4150
2021-10-28,4060
2021-10-29,3960
2021-10-30,2060
2021-10-31,2150
2021-11-01,4160
2021-11-02,4230
2021-11-03,4190
2021-11-04,4100
2021-11-05,4000
2021-11-06,2080
2021-11-07,2060
2021-11-08,4200
2021-11-09,4270
2021-11-10,4230
2021-11-11,4140
2021-11-12,4040
2021-11-13,2100
2021-11-14,2080
2021-11-15,4240
2021-11-16,4310
2021-11-17,4270
2021-11-18,4180
2021-11-19,4080
2021-11-20,2120
2021-11-21,2100
2021-11-22,4280
2021-11-23,4350
2021-11-24,4310
2021-11-25,2400
2021-11-26,2600
2021-11-27,2140
2021-11-28,2120
2021-11-29,4320
2021-11-30,4390
2021-12-01,4350
2021-12-02,4260
2021-12-03,4160
2021-12-04,2160
2021-12-05,2140
2021-12-06,4360
2021-12-07,4430
2021-12-08,4390
2021-12-09,4300
2021-12-10,4200
2021-12-11,2180
2021-12-12,2160
2021-12-13,4400
2021-12-14,4470
2021-12-15,4430
2021-12-16,4340
2021-12-17,4240
2021-12-18,2200
2021-12-19,2180
2021-12-20,4440
2021-12-21,4510
2021-12-22,4470
2021-12-23,4380
2021-12-24,2500
2021-12-25,2300
2021-12-26,2200
2021-12-27,4480
2021-12-28,4550
2021-12-29,4510
2021-12-30,4420
2021-12-31,2600
2022-01-01,2400
2022-01-02,2280
2022-01-03,4560
2022-01-04,4630
2022-01-05,4590
2022-01-06,4500
2022-01-07,4400
2022-01-08,2320
2022-01-09,2300
2022-01-10,4600
2022-01-11,4670
2022-01-12,4630
2022-01-13,4540
2022-01-14,4440
2022-01-15,2340
2022-01-16,2320
2022-01-17,4640
2022-01-18,4710
2022-01-19,4670
2022-01-20,4580
2022-01-21,4480
2022-01-22,2360
2022-01-23,2340
2022-01-24,4680
2022-01-25,4750
2022-01-26,4710
2022-01-27,4620
2022-01-28,4520
2022-01-29,2380
2022-01-30,2360
2022-01-31,4720
2022-02-01,4790
2022-02-02,4750
2022-02-03,4660
2022-02-04,4560
2022-02-05,2400
2022-02-06,2380
2022-02-07,4760
2022-02-08,4830
2022-02-09,4790
2022-02-10,4700
2022-02-11,4600
2022-02-12,2420
2022-02-13,2550
2022-02-14,4800
2022-02-15,4870
2022-02-16,4830
2022-02-17,4740
2022-02-18,4640
2022-02-19,2440
2022-02-20,2420
2022-02-21,4840
2022-02-22,4910
2022-02-23,4870
2022-02-24,4780
2022-02-25,4680
2022-02-26,2460
2022-02-27,2440
